horizon,required_votes,threshold,event_sensitivity,alarm_ppv,false_alarms_per_hour,auroc
300,1,0.16666666666666666,0.6956521739130435,0.06349206349206349,4.117476010468159,0.8630823752749982
300,2,0.3333333333333333,0.782608695652174,0.07758620689655173,3.7336435010177373,0.8630823752749982
300,3,0.5,0.8260869565217391,0.10106382978723404,2.948531549869148,0.8630823752749982
300,4,0.6666666666666666,0.8260869565217391,0.12179487179487179,2.3902297179412617,0.8630823752749982
300,5,0.8333333333333334,0.7391304347826086,0.14049586776859505,1.8144809537656295,0.8630823752749982
300,6,1.0,0.782608695652174,0.22784810126582278,1.0642628671125327,0.8630823752749982
600,1,0.16666666666666666,0.875,0.11822660098522167,3.316350162112089,0.796362219825003
600,2,0.3333333333333333,0.9583333333333334,0.11336032388663968,4.057433997220936,0.796362219825003
600,3,0.5,0.9583333333333334,0.12334801762114538,3.6868920796665123,0.796362219825003
600,4,0.6666666666666666,0.9583333333333334,0.13274336283185842,3.6313107920333487,0.796362219825003
600,5,0.8333333333333334,0.9166666666666666,0.1339712918660287,3.353404353867531,0.796362219825003
600,6,1.0,0.9583333333333334,0.18518518518518517,2.445576655859194,0.796362219825003
